"","Year","AirportName","Temperature"
"158",1984,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.625
"159",1984,"NEW RIVER MCAF, NC US",17.5416666666667
"160",1984,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.5083333333333
"161",1985,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.8333333333333
"162",1985,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.975
"163",1985,"NEW RIVER MCAF, NC US",18.5666666666667
"164",1985,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.7583333333333
"165",1986,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.675
"166",1986,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.5583333333333
"167",1986,"NEW RIVER MCAF, NC US",18.25
"168",1986,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.4666666666667
"169",1987,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.5833333333333
"170",1987,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.1333333333333
"171",1987,"NEW RIVER MCAF, NC US",17.2083333333333
"172",1987,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.3916666666667
"173",1988,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",16.5833333333333
"174",1988,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",16.7666666666667
"175",1988,"NEW RIVER MCAF, NC US",16.5083333333333
"176",1988,"WILMINGTON INTERNATIONAL AIRPORT, NC US",16.7333333333333
"177",1989,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.4416666666667
"178",1989,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17
"179",1989,"NEW RIVER MCAF, NC US",17.2833333333333
"180",1989,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.575
"181",1990,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.525
"182",1990,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",18.5083333333333
"183",1990,"NEW RIVER MCAF, NC US",18.8916666666667
"184",1990,"WILMINGTON INTERNATIONAL AIRPORT, NC US",19.1416666666667
"185",1991,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.55
"186",1991,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",18.1333333333333
"187",1991,"NEW RIVER MCAF, NC US",18.0333333333333
"188",1991,"WILMINGTON INTERNATIONAL AIRPORT, NC US",18.5416666666667
"189",1992,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.225
"190",1992,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.0166666666667
"191",1992,"NEW RIVER MCAF, NC US",17.2
"192",1992,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.4333333333333
"193",1993,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",17.45
"194",1993,"NEW BERN COASTAL CAROLINA REGIONAL AIRPORT, NC US",17.1
"195",1993,"NEW RIVER MCAF, NC US",17.4916666666667
"196",1993,"WILMINGTON INTERNATIONAL AIRPORT, NC US",17.85
"197",1994,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",18.15
