County,Land Cover,1996 sq.mi,2001 sq.mi,2006 sq.mi,2011 sq.mi,2016 sq.mi,,,,,,,,,,
Currituck,FOR,16.09,15.92,16.14,15.46,15.45,,,,,,,,,,
Currituck,SCB,3.97,3.94,3.7,3.62,3.51,,,,,,,,,,
Currituck,WDW,98.49,98.3,99.13,98.64,98.96,,,,,,,,,,
Currituck,EMW,43.16,43.02,41.91,42.24,41.93,,,,,,,,,,
Currituck,BAR,4.73,4.47,4.44,4.54,4.54,,,,,,,,,,
Currituck,WTR,266.76,266.74,266.8,266.96,266.93,,,,,,,,,,
Dare,HID,5.65,6.41,6.63,6.83,6.83,,,,,,,,,,
Dare,LID,16.02,16.24,16.29,16.51,16.52,,,,,,,,,,
Dare,OSD,3.81,3.66,3.67,4.09,4.09,,,,,,,,,,
Dare,GRS,1.64,1.7,1.73,1.44,1.44,,,,,,,,,,
Dare,AGR,8,7.98,7.93,7.98,7.82,,,,,,,,,,
Dare,FOR,9.4,9.12,8.93,9.02,9.01,,,,,,,,,,
Dare,SCB,3.21,3.3,3.25,2.93,2.92,,,,,,,,,,
Dare,WDW,236.59,235.6,231.92,232.5,234.19,,,,,,,,,,
Dare,EMW,82.72,83.52,86.89,84.42,84.24,,,,,,,,,,
Dare,BAR,46.11,44.02,44.02,43.83,43.99,,,,,,,,,,
Dare,WTR,1148.42,1150.03,1150.33,1152.05,1150.53,,,,,,,,,,
Duplin,HID,2.12,2.13,2.23,2.6,2.65,,,,,,,,,,
Duplin,LID,21.5,21.76,21.8,21.91,22.19,,,,,,,,,,
Duplin,OSD,5.65,5.69,5.73,6.66,7.19,,,,,,,,,,
Duplin,GRS,10.35,11.76,23.41,22.63,21.8,,,,,,,,,,
Duplin,AGR,309.85,311.86,313.51,314.52,315.62,,,,,,,,,,
Duplin,FOR,208.82,212.15,198.02,201.98,196.59,,,,,,,,,,
Duplin,SCB,64.15,64.32,64.1,58.85,63.46,,,,,,,,,,
Duplin,WDW,186.08,180.13,175.06,173.56,174.77,,,,,,,,,,
Duplin,EMW,6.99,5.61,8.68,10.03,8.91,,,,,,,,,,
Duplin,BAR,0.12,0.11,1.8,1.84,1.47,,,,,,,,,,
Duplin,WTR,3.49,3.6,4.78,4.52,4.46,,,,,,,,,,
Edgecombe,HID,3.2,3.25,3.33,3.47,3.53,,,,,,,,,,
Edgecombe,LID,17.32,17.69,17.8,17.92,18.19,,,,,,,,,,
Edgecombe,OSD,6.34,6.56,6.64,6.79,7.5,,,,,,,,,,
Edgecombe,GRS,6.21,9.01,13.26,7.4,8.95,,,,,,,,,,
Edgecombe,AGR,214.35,216.08,215.93,215.78,214.74,,,,,,,,,,
Edgecombe,FOR,116.47,117.25,113.04,117.08,112.8,,,,,,,,,,
Edgecombe,SCB,26.73,24.42,24.13,25.91,28.59,,,,,,,,,,
Edgecombe,WDW,108.03,102.63,102.08,103.63,103.32,,,,,,,,,,
Edgecombe,EMW,3.26,4.79,4.79,2.99,3.21,,,,,,,,,,
Edgecombe,BAR,0.38,0.3,0.53,0.5,0.51,,,,,,,,,,
Edgecombe,WTR,4.28,4.61,5.04,5.1,5.23,,,,,,,,,,
Gates,HID,0.38,0.41,0.43,0.33,0.34,,,,,,,,,,
Gates,LID,4.02,4.16,4.23,4.72,4.72,,,,,,,,,,
Gates,OSD,1.31,1.44,1.69,1.6,1.62,,,,,,,,,,
Gates,GRS,5.24,4.73,14.02,11.28,9.09,,,,,,,,,,
Gates,AGR,77.59,78.74,79.51,78.77,78.81,,,,,,,,,,
Gates,FOR,106.39,103.26,93.82,97.47,105.78,,,,,,,,,,
Gates,SCB,24.13,26.57,26.61,26.42,20.2,,,,,,,,,,
Gates,WDW,118.91,118.7,115.88,116.22,116.1,,,,,,,,,,
Gates,EMW,2.14,2.09,3.91,3.21,3.37,,,,,,,,,,
Gates,BAR,0.06,0.05,0.05,0.08,0.07,,,,,,,,,,
Gates,WTR,5.44,5.45,5.47,5.49,5.5,,,,,,,,,,
Greene,HID,0.59,0.6,0.64,0.68,0.7,,,,,,,,,,
Greene,LID,7.61,7.76,7.79,7.8,7.82,,,,,,,,,,
Greene,OSD,1.56,1.58,1.58,2.21,2.28,,,,,,,,,,
Greene,GRS,2.79,4.54,5.9,4.38,4.3,,,,,,,,,,
Greene,AGR,135.65,136.37,136.92,136.53,136.5,,,,,,,,,,
Greene,FOR,49.85,51.53,49.79,49.02,47.6,,,,,,,,,,
