Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1992,DRUMS,KINGFISHES,2101325,22.1,1205802,20.1,546948,20.1
FINAL,1992,DRUMS,OTHER DRUM,804,99.7,0,.,0,.
FINAL,1992,DRUMS,RED DRUM,48099,26.4,233100,27,105734,27
FINAL,1992,DRUMS,SILVER PERCH,695140,79.6,152844,78.2,69330,78.2
FINAL,1992,DRUMS,SPOT,5043969,20.6,1431733,18.4,649430,18.4
FINAL,1992,DRUMS,SPOTTED SEATROUT,908233,19.4,1390746,21.9,630838,21.9
FINAL,1992,DRUMS,WEAKFISH,72064,27.2,53214,24.9,24138,24.9
FINAL,1992,FLOUNDERS,GULF FLOUNDER,2728,56.3,2509,60.8,1138,60.8
FINAL,1992,FLOUNDERS,OTHER FLOUNDERS,44027,29.7,41737,28.3,18932,28.3
FINAL,1992,FLOUNDERS,SOUTHERN FLOUNDER,115329,24.6,219720,24.3,99664,24.3
FINAL,1992,FLOUNDERS,SUMMER FLOUNDER,458311,16.7,562855,16.5,255309,16.5
FINAL,1992,GRUNTS,OTHER GRUNTS,20192,83,6785,83.8,3078,83.8
FINAL,1992,GRUNTS,PIGFISH,1223061,19.6,454908,21.3,206345,21.3
FINAL,1992,GRUNTS,WHITE GRUNT,103421,23.9,162891,25,73887,25
FINAL,1992,HERRINGS,HERRINGS,72638,45.1,16014,45.1,7264,45.1
FINAL,1992,JACKS,BLUE RUNNER,6334,41.5,3562,36.4,1616,36.4
FINAL,1992,JACKS,CREVALLE JACK,6572,55.8,22992,64,10429,64
FINAL,1992,JACKS,FLORIDA POMPANO,208451,32.7,66478,29.4,30154,29.4
FINAL,1992,JACKS,GREATER AMBERJACK,1948,34.7,49742,36.7,22563,36.7
FINAL,1992,JACKS,OTHER JACKS,423,61.2,1030,51.4,467,51.4
FINAL,1992,MULLETS,MULLETS,1543433,88.5,1182244,87.6,536262,87.6
FINAL,1992,OTHER FISHES,OTHER FISHES,52572,24,383989,33.5,174176,33.5
FINAL,1992,PORGIES,OTHER PORGIES,8717,34,13935,35,6321,35
FINAL,1992,PORGIES,PINFISHES,1287685,19.6,310571,18.4,140874,18.4
FINAL,1992,PORGIES,RED PORGY,40489,29.6,53043,27.4,24060,27.4
FINAL,1992,PORGIES,SCUP,204426,66,48747,62.8,22112,62.8
FINAL,1992,PORGIES,SHEEPSHEAD,206241,37.7,434509,39.2,197092,39.2
FINAL,1992,PUFFERS,PUFFERS,2137079,42.6,1149435,43.7,521380,43.7
FINAL,1992,SEA BASSES,BLACK SEA BASS,574463,23.7,564382,34,256002,34
FINAL,1992,SEA BASSES,EPINEPHELUS GROUPERS,2784,43.9,8728,32.3,3959,32.3
FINAL,1992,SEA BASSES,MYCTEROPERCA GROUPERS,12356,34.5,96543,40.5,43792,40.5
FINAL,1992,SEA BASSES,OTHER SEA BASSES,1964,73.4,252,68.3,114,68.3
FINAL,1992,SEAROBINS,SEAROBINS,934,72.4,133,98.1,60,98.1
FINAL,1992,SNAPPERS,GRAY SNAPPER,38,101.7,118,101.7,53,101.7
FINAL,1992,SNAPPERS,RED SNAPPER,950,63.3,2446,57.6,1109,57.6
FINAL,1992,SNAPPERS,VERMILION SNAPPER,33513,31.1,40383,35.4,18318,35.4
FINAL,1992,SNAPPERS,YELLOWTAIL SNAPPER,389,99.2,415,99.2,188,99.2
FINAL,1992,TEMPERATE BASSES,STRIPED BASS,3288,84.9,1350,100.8,612,100.8
FINAL,1992,TEMPERATE BASSES,WHITE PERCH,3458,101,961,101,436,101
FINAL,1992,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,21496,43.6,46816,47.6,21236,47.6
FINAL,1992,TUNAS AND MACKERELS,KING MACKEREL,165568,13.8,1435826,15.2,651286,15.2
FINAL,1992,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,27543,20.2,199207,21,90360,21
FINAL,1992,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,43784,19.8,3396889,47.4,1540819,47.4
FINAL,1992,TUNAS AND MACKERELS,SPANISH MACKEREL,879444,10.7,1171718,10.7,531488,10.7
FINAL,1992,WRASSES,OTHER WRASSES,355,68.6,4877,80.1,2212,80.1
FINAL,1992,WRASSES,TAUTOG,11993,65.1,22851,57.5,10365,57.5
FINAL,1993,BARRACUDAS,BARRACUDAS,2935,27.6,42887,28.2,19453,28.2
FINAL,1993,BLUEFISH,BLUEFISH,1620184,14.3,1991395,16.8,903291,16.8
FINAL,1993,CARTILAGINOUS FISHES,DOGFISH SHARKS,15065,36.4,58258,33.5,26426,33.5
FINAL,1993,CARTILAGINOUS FISHES,OTHER SHARKS,12810,35.6,99791,28.8,45265,28.8
FINAL,1993,CARTILAGINOUS FISHES,SKATES/RAYS,11525,53,39964,53.3,18128,53.3
FINAL,1993,CATFISHES,FRESHWATER CATFISHES,9395,77,19571,89.1,8877,89.1
FINAL,1993,CATFISHES,SALTWATER CATFISHES,2815,68.2,6705,76.4,3041,76.4
FINAL,1993,CODS AND HAKES,OTHER CODS/HAKES,5384,55.6,2101,52.7,953,52.7
FINAL,1993,DOLPHINS,DOLPHINS,291297,16.1,1527078,16.3,692678,16.3
FINAL,1993,DRUMS,ATLANTIC CROAKER,1590195,15.5,590338,15.9,267776,15.9
FINAL,1993,DRUMS,BLACK DRUM,98091,27.4,90014,24.5,40830,24.5
FINAL,1993,DRUMS,KINGFISHES,1713369,18.2,970140,15,440053,15
FINAL,1993,DRUMS,OTHER DRUM,4211,57.3,3641,57.5,1651,57.5
FINAL,1993,DRUMS,RED DRUM,107235,19.2,538175,20.1,244115,20.1
FINAL,1993,DRUMS,SILVER PERCH,136122,38.5,36155,38.2,16400,38.2
FINAL,1993,DRUMS,SPOT,6877688,25.9,2879162,30.8,1305979,30.8
FINAL,1993,DRUMS,SPOTTED SEATROUT,569327,16.3,857720,17.3,389059,17.3
FINAL,1993,DRUMS,WEAKFISH,293966,43.2,230010,43.9,104332,43.9
FINAL,1993,FLOUNDERS,GULF FLOUNDER,744,76.3,634,70.6,288,70.6
FINAL,1993,FLOUNDERS,OTHER FLOUNDERS,78780,36.6,79121,34.5,35889,34.5
FINAL,1993,FLOUNDERS,SOUTHERN FLOUNDER,83811,25.4,127860,22.6,57997,22.6
FINAL,1993,FLOUNDERS,SUMMER FLOUNDER,593005,13.6,716004,13.5,324777,13.5
FINAL,1993,GRUNTS,OTHER GRUNTS,4137,81.1,1582,70.2,718,70.2
FINAL,1993,GRUNTS,PIGFISH,991706,20.5,337334,23.2,153014,23.2
FINAL,1993,GRUNTS,WHITE GRUNT,226891,22.9,232814,22.1,105604,22.1
FINAL,1993,HERRINGS,HERRINGS,14714,67.6,4224,67.6,1916,67.6
FINAL,1993,JACKS,BLUE RUNNER,812,82.3,552,80.7,250,80.7
FINAL,1993,JACKS,CREVALLE JACK,16506,70.8,5699,73.6,2585,73.6
FINAL,1993,JACKS,FLORIDA POMPANO,634341,33,232975,34.6,105677,34.6
FINAL,1993,JACKS,GREATER AMBERJACK,4332,32.3,110583,37.7,50160,37.7
FINAL,1993,JACKS,OTHER JACKS,14250,40.9,9727,31.1,4412,31.1
FINAL,1993,MULLETS,MULLETS,295610,57.5,676433,70.4,306828,70.4
FINAL,1993,OTHER FISHES,OTHER FISHES,200035,32.7,382791,28.5,173633,28.5
FINAL,1993,PORGIES,OTHER PORGIES,28025,35.3,31378,30.1,14233,30.1
FINAL,1993,PORGIES,PINFISHES,936349,24.8,254281,23.1,115341,23.1
FINAL,1993,PORGIES,RED PORGY,38733,33.8,45858,30.9,20801,30.9
FINAL,1993,PORGIES,SCUP,22905,36,9875,33.4,4479,33.4
FINAL,1993,PORGIES,SHEEPSHEAD,221442,27.4,289634,23.5,131377,23.5
FINAL,1993,PUFFERS,PUFFERS,604560,23.6,350491,22.1,158982,22.1
FINAL,1993,SEA BASSES,BLACK SEA BASS,358984,16.5,232338,16.5,105388,16.5
FINAL,1993,SEA BASSES,EPINEPHELUS GROUPERS,12894,34.9,44217,38.7,20057,38.7
FINAL,1993,SEA BASSES,MYCTEROPERCA GROUPERS,27290,41.5,109521,38.4,49679,38.4
FINAL,1993,SEA BASSES,OTHER SEA BASSES,33967,73.3,8101,59,3674,59
FINAL,1993,SNAPPERS,GRAY SNAPPER,40,101.4,34,101.4,15,101.4
FINAL,1993,SNAPPERS,OTHER SNAPPERS,745,98.6,1564,98.6,710,98.6
FINAL,1993,SNAPPERS,RED SNAPPER,610,58.9,2942,63,1335,63
FINAL,1993,SNAPPERS,VERMILION SNAPPER,33728,44.2,26632,43.6,12080,43.6
FINAL,1993,TEMPERATE BASSES,STRIPED BASS,531,100.1,6084,100.1,2760,100.1
FINAL,1993,TEMPERATE BASSES,WHITE PERCH,69492,74.8,32969,65.7,14955,65.7
FINAL,1993,TOADFISHES,TOADFISHES,2952,58.8,1085,90.3,492,90.3
FINAL,1993,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,85187,76.4,143419,73.8,65054,73.8
FINAL,1993,TUNAS AND MACKERELS,KING MACKEREL,121704,15.7,1224744,16.2,555540,16.2
FINAL,1993,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,19761,30,167717,27.4,76076,27.4
FINAL,1993,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,89077,15,1870186,15.2,848311,15.2
FINAL,1993,TUNAS AND MACKERELS,SPANISH MACKEREL,720907,14.8,1107430,16.6,502327,16.6
FINAL,1993,WRASSES,OTHER WRASSES,1412,50.7,9263,58,4202,58
FINAL,1993,WRASSES,TAUTOG,6685,80,20820,77.6,9444,77.6
FINAL,1994,BARRACUDAS,BARRACUDAS,1862,33,32936,31.9,14940,31.9
FINAL,1994,BLUEFISH,BLUEFISH,673341,12.7,847458,14.1,384405,14.1
FINAL,1994,CARTILAGINOUS FISHES,DOGFISH SHARKS,12774,32.2,37456,35.2,16990,35.2
FINAL,1994,CARTILAGINOUS FISHES,OTHER SHARKS,22351,29,266508,30.6,120887,30.6
FINAL,1994,CARTILAGINOUS FISHES,SKATES/RAYS,15218,59.8,31375,58.8,14232,58.8
FINAL,1994,CATFISHES,FRESHWATER CATFISHES,6505,89.3,15303,92.2,6941,92.2
FINAL,1994,CATFISHES,SALTWATER CATFISHES,2434,92.8,2690,92.6,1220,92.6
FINAL,1994,CODS AND HAKES,OTHER CODS/HAKES,8015,53.5,2881,51.8,1307,51.8
FINAL,1994,DOLPHINS,DOLPHINS,268423,15.3,1791894,15.6,812798,15.6
FINAL,1994,DRUMS,ATLANTIC CROAKER,1921848,13.6,557403,12.1,252837,12.1
FINAL,1994,DRUMS,BLACK DRUM,132517,37.4,272820,43.3,123750,43.3
FINAL,1994,DRUMS,KINGFISHES,1905437,17.6,932088,15.8,422792,15.8
FINAL,1994,DRUMS,OTHER DRUM,158586,85.5,119884,91.5,54379,91.5
FINAL,1994,DRUMS,RED DRUM,72245,29.4,349317,22.5,158449,22.5
FINAL,1994,DRUMS,SILVER PERCH,403651,43.3,89842,42.9,40752,42.9
FINAL,1994,DRUMS,SPOT,14032650,38.6,4571386,40.3,2073567,40.3
FINAL,1994,DRUMS,SPOTTED SEATROUT,798937,13.9,1207520,14.8,547727,14.8
FINAL,1994,DRUMS,WEAKFISH,336188,18.1,276435,18.3,125390,18.3
FINAL,1994,EELS,EELS,3999,105.8,0,.,0,.
FINAL,1994,FLOUNDERS,OTHER FLOUNDERS,64098,33.9,71748,32.6,32545,32.6
FINAL,1994,FLOUNDERS,SOUTHERN FLOUNDER,168237,19.4,323869,20.5,146906,20.5
FINAL,1994,FLOUNDERS,SUMMER FLOUNDER,767804,20.2,947445,21.5,429758,21.5
FINAL,1994,GRUNTS,OTHER GRUNTS,22726,47.7,14988,58.8,6799,58.8
FINAL,1994,GRUNTS,PIGFISH,986517,20.3,288078,21.8,130671,21.8
FINAL,1994,GRUNTS,WHITE GRUNT,374511,25.3,390128,25.9,176961,25.9
FINAL,1994,HERRINGS,HERRINGS,449599,93.6,119982,92.8,54423,92.8
FINAL,1994,JACKS,BLUE RUNNER,2300,86.8,2346,49.6,1064,49.6
FINAL,1994,JACKS,CREVALLE JACK,403,66.6,4234,82.8,1921,82.8
FINAL,1994,JACKS,FLORIDA POMPANO,250407,37.6,94026,41.8,42650,41.8
FINAL,1994,JACKS,GREATER AMBERJACK,6191,24.2,134337,25.3,60935,25.3
FINAL,1994,JACKS,OTHER JACKS,182,67.5,1094,89.2,496,89.2
FINAL,1994,MULLETS,MULLETS,303137,55.2,599602,55.3,271978,55.3
FINAL,1994,OTHER FISHES,OTHER FISHES,55052,28,238494,27,108180,27
FINAL,1994,PORGIES,OTHER PORGIES,33001,30.8,52496,37.3,23812,37.3
FINAL,1994,PORGIES,PINFISHES,869407,14.3,248755,17.1,112835,17.1
FINAL,1994,PORGIES,RED PORGY,64631,26.4,86327,26.9,39158,26.9
FINAL,1994,PORGIES,SCUP,28583,45.1,13466,52.4,6108,52.4
FINAL,1994,PORGIES,SHEEPSHEAD,92098,20.1,197128,22.1,89417,22.1
FINAL,1994,PUFFERS,PUFFERS,299964,25.4,146090,25.3,66266,25.3
FINAL,1994,SEA BASSES,BLACK SEA BASS,343688,21.5,270682,24.8,122781,24.8
FINAL,1994,SEA BASSES,EPINEPHELUS GROUPERS,9053,27.3,16032,23,7272,23
FINAL,1994,SEA BASSES,MYCTEROPERCA GROUPERS,32366,24.4,174090,25.2,78967,25.2
FINAL,1994,SEA BASSES,OTHER SEA BASSES,18181,55.9,2178,36.1,988,36.1
FINAL,1994,SEAROBINS,SEAROBINS,1077,78.2,177,99.4,80,99.4
FINAL,1994,SNAPPERS,OTHER SNAPPERS,1757,99.7,10,101.4,5,101.4
FINAL,1994,SNAPPERS,RED SNAPPER,3870,53.4,30916,63.5,14024,63.5
FINAL,1994,SNAPPERS,VERMILION SNAPPER,55624,36.8,55938,34.4,25373,34.4
FINAL,1994,TEMPERATE BASSES,STRIPED BASS,10275,43.9,107695,45.7,48850,45.7
FINAL,1994,TEMPERATE BASSES,WHITE PERCH,47147,57.3,16751,60.9,7598,60.9
FINAL,1994,TOADFISHES,TOADFISHES,509,99.7,449,99.7,204,99.7
FINAL,1994,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,36648,28.2,96752,31.1,43887,31.1
FINAL,1994,TUNAS AND MACKERELS,KING MACKEREL,177608,20.7,1709740,17.4,775533,17.4
FINAL,1994,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,17253,22.6,130177,24.5,59048,24.5
FINAL,1994,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,192958,19.3,3999501,17.8,1814162,17.8
FINAL,1994,TUNAS AND MACKERELS,SPANISH MACKEREL,641980,11,724589,11.2,328671,11.2
FINAL,1994,WRASSES,OTHER WRASSES,55,97.4,256,97.4,116,97.4
FINAL,1994,WRASSES,TAUTOG,2107,43.2,5273,46.4,2392,46.4
FINAL,1995,BARRACUDAS,BARRACUDAS,6446,48,82298,45.5,37330,45.5
FINAL,1995,BLUEFISH,BLUEFISH,660979,11.7,770490,13.1,349492,13.1
FINAL,1995,CARTILAGINOUS FISHES,DOGFISH SHARKS,7679,44.8,26696,48.8,12109,48.8
FINAL,1995,CARTILAGINOUS FISHES,OTHER SHARKS,13328,26.7,171806,31.3,77931,31.3
FINAL,1995,CARTILAGINOUS FISHES,SKATES/RAYS,1116,70.3,22289,99.3,10110,99.3
FINAL,1995,CATFISHES,SALTWATER CATFISHES,2422,47.7,2961,42.6,1343,42.6
FINAL,1995,DOLPHINS,DOLPHINS,295178,13.7,2324560,14.4,1054413,14.4
FINAL,1995,DRUMS,ATLANTIC CROAKER,1632366,12.9,602628,12.7,273350,12.7
FINAL,1995,DRUMS,BLACK DRUM,931269,25.8,713652,22.8,323711,22.8
FINAL,1995,DRUMS,KINGFISHES,1566976,18.5,877355,17.9,397965,17.9
FINAL,1995,DRUMS,OTHER DRUM,13306,46.3,12328,49.5,5592,49.5
FINAL,1995,DRUMS,RED DRUM,151145,13.7,692063,14.6,313918,14.6
FINAL,1995,DRUMS,SILVER PERCH,225251,24.5,49943,23.8,22654,23.8
FINAL,1995,DRUMS,SPOT,8199743,21.4,3214061,20.2,1457889,20.2
FINAL,1995,DRUMS,SPOTTED SEATROUT,863057,14.9,1221065,13.5,553871,13.5
FINAL,1995,DRUMS,WEAKFISH,103190,24.8,118177,25.1,53605,25.1
FINAL,1995,EELS,EELS,633,100,0,.,0,.
FINAL,1995,FLOUNDERS,GULF FLOUNDER,26610,100.8,51650,100.8,23428,100.8
FINAL,1995,FLOUNDERS,OTHER FLOUNDERS,22124,28.4,18494,26.1,8389,26.1
FINAL,1995,FLOUNDERS,SOUTHERN FLOUNDER,127106,17.2,271703,19.2,123243,19.2
FINAL,1995,FLOUNDERS,SUMMER FLOUNDER,241409,11.8,344315,13.5,156180,13.5
FINAL,1995,GRUNTS,OTHER GRUNTS,20757,49.2,9380,44,4255,44
FINAL,1995,GRUNTS,PIGFISH,1315875,27.5,540808,34.3,245309,34.3
FINAL,1995,GRUNTS,WHITE GRUNT,107570,26.7,103531,28.4,46961,28.4
FINAL,1995,HERRINGS,HERRINGS,123731,86.3,33443,86.2,15170,86.2
FINAL,1995,JACKS,BLUE RUNNER,696,62.3,2173,54.6,986,54.6
FINAL,1995,JACKS,CREVALLE JACK,3634,56.4,29648,68.1,13448,68.1
FINAL,1995,JACKS,FLORIDA POMPANO,236431,25.3,84051,24.6,38125,24.6
FINAL,1995,JACKS,GREATER AMBERJACK,4164,36.1,115585,38.6,52429,38.6
FINAL,1995,JACKS,OTHER JACKS,10155,61.1,585,69.3,265,69.3
FINAL,1995,MULLETS,MULLETS,226210,45.7,241980,76.3,109761,76.3
FINAL,1995,OTHER FISHES,OTHER FISHES,127715,24.5,417523,24.8,189387,24.8
FINAL,1995,PORGIES,OTHER PORGIES,34702,49.2,43464,48.8,19715,48.8
FINAL,1995,PORGIES,PINFISHES,1323443,15.3,305398,16,138527,16
FINAL,1995,PORGIES,RED PORGY,20789,35.1,28359,37.2,12863,37.2
FINAL,1995,PORGIES,SCUP,9464,51,5050,51,2291,51
FINAL,1995,PORGIES,SHEEPSHEAD,157769,20.7,407729,20.2,184945,20.2
FINAL,1995,PUFFERS,PUFFERS,262076,38,130593,39.2,59237,39.2
FINAL,1995,SEA BASSES,BLACK SEA BASS,276811,24.5,218180,31.7,98966,31.7
FINAL,1995,SEA BASSES,EPINEPHELUS GROUPERS,4997,36.4,17931,46,8133,46
FINAL,1995,SEA BASSES,MYCTEROPERCA GROUPERS,15246,61.6,100838,59.7,45740,59.7
FINAL,1995,SEA BASSES,OTHER SEA BASSES,8183,49.5,1539,63.4,698,63.4
FINAL,1995,SEAROBINS,SEAROBINS,1446,99.3,319,99.3,145,99.3
FINAL,1995,SNAPPERS,GRAY SNAPPER,3155,98.8,2879,98.8,1306,98.8
FINAL,1995,SNAPPERS,LANE SNAPPER,78,101.4,70,101.4,32,101.4
FINAL,1995,SNAPPERS,OTHER SNAPPERS,14714,63.2,9089,73.9,4123,73.9
FINAL,1995,SNAPPERS,RED SNAPPER,9341,63.2,24197,67.1,10975,67.1
FINAL,1995,SNAPPERS,VERMILION SNAPPER,24633,38.1,19225,36.2,8721,36.2
FINAL,1995,TEMPERATE BASSES,STRIPED BASS,79968,48.1,485069,34,220026,34
FINAL,1995,TEMPERATE BASSES,WHITE PERCH,7153,69,3054,64,1385,64
FINAL,1995,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,21889,41.2,25081,25.6,11377,25.6
FINAL,1995,TUNAS AND MACKERELS,KING MACKEREL,135796,14.3,1240901,14.5,562869,14.5
FINAL,1995,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,16417,55.8,122539,49.1,55583,49.1
FINAL,1995,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,147121,22.5,4369754,26.4,1982107,26.4
FINAL,1995,TUNAS AND MACKERELS,SPANISH MACKEREL,397190,12.9,492096,14.3,223213,14.3
FINAL,1995,WRASSES,OTHER WRASSES,38548,44.3,83710,41.9,37970,41.9
FINAL,1995,WRASSES,TAUTOG,5954,45.2,14407,54.8,6535,54.8
FINAL,1996,BARRACUDAS,BARRACUDAS,5384,39.9,51592,38.4,23402,38.4
FINAL,1996,BLUEFISH,BLUEFISH,632382,12.8,1352444,19,613464,19
FINAL,1996,CARTILAGINOUS FISHES,DOGFISH SHARKS,9125,42.4,22267,46.4,10100,46.4
FINAL,1996,CARTILAGINOUS FISHES,OTHER SHARKS,17777,45.3,191653,38.1,86933,38.1
FINAL,1996,CARTILAGINOUS FISHES,SKATES/RAYS,6015,43.9,38687,65.1,17548,65.1
FINAL,1996,CATFISHES,FRESHWATER CATFISHES,9009,72.4,32996,86.5,14967,86.5
FINAL,1996,CATFISHES,SALTWATER CATFISHES,683,99.8,1061,99.8,481,99.8
FINAL,1996,CODS AND HAKES,OTHER CODS/HAKES,3147,73.4,1627,80.1,738,80.1
FINAL,1996,DOLPHINS,DOLPHINS,213861,21.6,1514866,24.1,687138,24.1
FINAL,1996,DRUMS,ATLANTIC CROAKER,1224357,17.9,564016,19.3,255836,19.3
FINAL,1996,DRUMS,BLACK DRUM,468766,19.7,608460,22.6,275996,22.6
FINAL,1996,DRUMS,KINGFISHES,1594186,28.6,824302,29.8,373901,29.8
FINAL,1996,DRUMS,OTHER DRUM,2135,83.9,0,.,0,.
FINAL,1996,DRUMS,RED DRUM,90177,24.3,391364,19.7,177522,19.7
FINAL,1996,DRUMS,SILVER PERCH,230966,24.1,51531,23.4,23374,23.4
FINAL,1996,DRUMS,SPOT,6729366,18,2461892,19.4,1116707,19.4
FINAL,1996,DRUMS,SPOTTED SEATROUT,575357,27.4,699078,23,317100,23
FINAL,1996,DRUMS,WEAKFISH,138577,18,121291,18.4,55017,18.4
FINAL,1996,FLOUNDERS,OTHER FLOUNDERS,61280,35.7,57807,39.9,26221,39.9
FINAL,1996,FLOUNDERS,SOUTHERN FLOUNDER,173400,19.1,339228,21.9,153873,21.9
FINAL,1996,FLOUNDERS,SUMMER FLOUNDER,486480,15.7,582987,15.9,264441,15.9
FINAL,1996,GRUNTS,OTHER GRUNTS,1585,67,477,66.1,217,66.1
FINAL,1996,GRUNTS,PIGFISH,1205209,14.4,531526,34.6,241098,34.6
FINAL,1996,GRUNTS,WHITE GRUNT,59115,32.3,77026,33.9,34939,33.9
FINAL,1996,HERRINGS,HERRINGS,25315,59.5,979,92.1,444,92.1
FINAL,1996,JACKS,BLUE RUNNER,576,59.2,2225,62.7,1009,62.7
FINAL,1996,JACKS,CREVALLE JACK,1369,42.2,17460,58.1,7920,58.1
FINAL,1996,JACKS,FLORIDA POMPANO,114391,19.8,51423,21.5,23326,21.5
FINAL,1996,JACKS,GREATER AMBERJACK,8554,30.2,252047,32.9,114328,32.9
FINAL,1996,JACKS,OTHER JACKS,11443,66,4904,89.3,2225,89.3
FINAL,1996,MULLETS,MULLETS,37656,47.5,68672,54.2,31150,54.2
FINAL,1996,OTHER FISHES,OTHER FISHES,35832,24.4,163713,25.9,74260,25.9
FINAL,1996,PORGIES,OTHER PORGIES,3176,40.4,7363,43.4,3340,43.4
FINAL,1996,PORGIES,PINFISHES,1166675,20.1,320938,19,145576,19
FINAL,1996,PORGIES,RED PORGY,15598,33,21669,35,9829,35
FINAL,1996,PORGIES,SCUP,5428,62.6,3494,58.4,1585,58.4
FINAL,1996,PORGIES,SHEEPSHEAD,77750,22.9,256911,25.5,116534,25.5
FINAL,1996,PUFFERS,PUFFERS,682710,34.4,335839,34.6,152335,34.6
FINAL,1996,SEA BASSES,BLACK SEA BASS,264846,22.2,237846,24.1,107886,24.1
FINAL,1996,SEA BASSES,EPINEPHELUS GROUPERS,1568,39.3,5989,46.5,2717,46.5
FINAL,1996,SEA BASSES,MYCTEROPERCA GROUPERS,4835,25.7,37791,29,17142,29
FINAL,1996,SEA BASSES,OTHER SEA BASSES,608,51.6,270,51.3,122,51.3
FINAL,1996,SEAROBINS,SEAROBINS,4275,69.4,147,74,67,74
FINAL,1996,SNAPPERS,GRAY SNAPPER,2223,91.4,2957,91.4,1341,91.4
FINAL,1996,SNAPPERS,OTHER SNAPPERS,5584,68.8,1888,65.3,856,65.3
FINAL,1996,SNAPPERS,RED SNAPPER,611,58.9,1488,62.9,675,62.9
FINAL,1996,SNAPPERS,VERMILION SNAPPER,24463,45.6,25384,49.5,11514,49.5
FINAL,1996,TEMPERATE BASSES,STRIPED BASS,85661,30.8,685434,25.9,310911,25.9
FINAL,1996,TEMPERATE BASSES,WHITE PERCH,119949,96.3,28069,96.2,12732,96.2
FINAL,1996,TOADFISHES,TOADFISHES,862,99.2,383,99.2,174,99.2
FINAL,1996,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,38361,30.8,83697,33.9,37965,33.9
FINAL,1996,TUNAS AND MACKERELS,ATLANTIC MACKEREL,445,91.1,554,92.1,251,92.1
FINAL,1996,TUNAS AND MACKERELS,KING MACKEREL,119418,23.2,1097226,19.6,497698,19.6
FINAL,1996,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,64335,46,301128,36.2,136591,36.2
FINAL,1996,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,243321,14.1,6115214,13.8,2773843,13.8
FINAL,1996,TUNAS AND MACKERELS,SPANISH MACKEREL,533333,14.9,709589,17.4,321868,17.4
FINAL,1996,WRASSES,TAUTOG,8714,43.9,27323,51,12394,51
FINAL,1997,BARRACUDAS,BARRACUDAS,2403,45.3,39968,46,18129,46
FINAL,1997,BLUEFISH,BLUEFISH,1476271,9.5,2366435,12.2,1073408,12.2
FINAL,1997,CARTILAGINOUS FISHES,DOGFISH SHARKS,5589,79.8,11492,72.1,5213,72.1
FINAL,1997,CARTILAGINOUS FISHES,OTHER SHARKS,8772,51.1,124945,67.7,56675,67.7
FINAL,1997,CARTILAGINOUS FISHES,SKATES/RAYS,1020,76,0,.,0,.
FINAL,1997,CODS AND HAKES,OTHER CODS/HAKES,7365,53.2,3357,54.1,1523,54.1
FINAL,1997,DOLPHINS,DOLPHINS,372989,14.5,3400820,15,1542602,15
FINAL,1997,DRUMS,ATLANTIC CROAKER,1142169,15.1,550949,18.5,249909,18.5
FINAL,1997,DRUMS,BLACK DRUM,106854,19.8,277316,22.9,125790,22.9
FINAL,1997,DRUMS,KINGFISHES,1377757,19.3,764540,16.6,346793,16.6
FINAL,1997,DRUMS,OTHER DRUM,9913,65.8,0,.,0,.
FINAL,1997,DRUMS,RED DRUM,22829,28.6,98079,28.9,44488,28.9
FINAL,1997,DRUMS,SILVER PERCH,224084,31.6,55458,29.6,25156,29.6
FINAL,1997,DRUMS,SPOT,4529620,15.3,2129481,15.8,965926,15.8
FINAL,1997,DRUMS,SPOTTED SEATROUT,779611,16.1,1025110,16,464987,16
FINAL,1997,DRUMS,WEAKFISH,333852,13.9,313767,15.2,142324,15.2
FINAL,1997,EELS,EELS,3552,103.1,11939,103.1,5416,103.1
FINAL,1997,FLOUNDERS,GULF FLOUNDER,9834,83.9,13474,80,6112,80
FINAL,1997,FLOUNDERS,OTHER FLOUNDERS,56506,23.4,51070,23.3,23165,23.3
FINAL,1997,FLOUNDERS,SOUTHERN FLOUNDER,209038,14.1,560323,14.5,254161,14.5
FINAL,1997,FLOUNDERS,SUMMER FLOUNDER,463367,12.1,597973,12.2,271239,12.2
FINAL,1997,GRUNTS,OTHER GRUNTS,1102,71.4,1016,78.7,461,78.7
FINAL,1997,GRUNTS,PIGFISH,1927079,25.4,915829,39.7,415417,39.7
