Estimate_status,Year,Species_group,Sub_group,Total_harvest_(A+B1),PSE,Total_weight_lb,PSE,Total_weight_kg,PSE
FINAL,1983,DOLPHINS,DOLPHINS,21325,57,196959,51.2,89340,51.2
FINAL,1983,DRUMS,ATLANTIC CROAKER,2373074,28.3,792039,36,359266,36
FINAL,1983,DRUMS,KINGFISHES,585903,29.7,214142,26.1,97134,26.1
FINAL,1983,DRUMS,OTHER DRUM,16806,64.2,17150,69.9,7779,69.9
FINAL,1983,DRUMS,RED DRUM,106833,35.2,186762,32.7,84715,32.7
FINAL,1983,DRUMS,SPOT,12396777,20.3,4362435,22,1978788,22
FINAL,1983,DRUMS,SPOTTED SEATROUT,220129,26.7,167186,27.4,75835,27.4
FINAL,1983,DRUMS,WEAKFISH,596354,48.6,749910,64.7,340157,64.7
FINAL,1983,FLOUNDERS,GULF FLOUNDER,104296,105.3,74795,105.3,33927,105.3
FINAL,1983,FLOUNDERS,OTHER FLOUNDERS,68911,62.8,198956,72.8,90246,72.8
FINAL,1983,FLOUNDERS,SOUTHERN FLOUNDER,136158,67.1,93073,75.1,42218,75.1
FINAL,1983,FLOUNDERS,SUMMER FLOUNDER,1522625,21.3,986346,21.6,447403,21.6
FINAL,1983,GRUNTS,OTHER GRUNTS,8559,107.8,2161,107.8,980,107.8
FINAL,1983,GRUNTS,PIGFISH,1501731,42.3,341084,47.2,154715,47.2
FINAL,1983,GRUNTS,WHITE GRUNT,2282,107.8,2305,107.8,1045,107.8
FINAL,1983,HERRINGS,HERRINGS,25639,27.8,5652,27.8,2564,27.8
FINAL,1983,JACKS,BLUE RUNNER,2839,100.9,12102,100.9,5490,100.9
FINAL,1983,JACKS,CREVALLE JACK,8717,24.4,6244,24.7,2832,24.7
FINAL,1983,JACKS,FLORIDA POMPANO,218848,75.7,38848,76.3,17621,76.3
FINAL,1983,JACKS,GREATER AMBERJACK,659,100.5,7985,100.5,3622,100.5
FINAL,1983,MULLETS,MULLETS,1815124,71.3,359517,78.4,163076,78.4
FINAL,1983,OTHER FISHES,OTHER FISHES,716386,40.2,419044,54.5,190077,54.5
FINAL,1983,PORGIES,OTHER PORGIES,89287,57.6,66168,68.4,30014,68.4
FINAL,1983,PORGIES,PINFISHES,393235,31.8,82903,30.6,37605,30.6
FINAL,1983,PORGIES,RED PORGY,20265,39,14371,85.1,6519,85.1
FINAL,1983,PORGIES,SHEEPSHEAD,5930,100.5,19285,100.5,8747,100.5
FINAL,1983,PUFFERS,PUFFERS,16404,66.9,4662,70,2114,70
FINAL,1983,SEA BASSES,BLACK SEA BASS,777261,36.1,304160,42.7,137966,42.7
FINAL,1983,SEA BASSES,EPINEPHELUS GROUPERS,6419,107.8,46456,107.8,21072,107.8
FINAL,1983,SEA BASSES,MYCTEROPERCA GROUPERS,9129,107.8,38890,107.8,17641,107.8
FINAL,1983,SEA BASSES,OTHER SEA BASSES,39288,90.3,58898,90.3,26716,90.3
FINAL,1983,SNAPPERS,OTHER SNAPPERS,8559,107.8,11884,107.8,5391,107.8
FINAL,1983,SNAPPERS,VERMILION SNAPPER,41937,107.8,85872,107.8,38951,107.8
FINAL,1983,TEMPERATE BASSES,STRIPED BASS,23524,99.5,46675,99.5,21171,99.5
FINAL,1983,TEMPERATE BASSES,WHITE PERCH,99170,91,60124,91,27272,91
FINAL,1983,TUNAS AND MACKERELS,ATLANTIC MACKEREL,30365,38.7,56901,38.7,25810,38.7
FINAL,1983,TUNAS AND MACKERELS,KING MACKEREL,115637,47.5,738215,48.3,334852,48.3
FINAL,1983,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,85196,88.2,1117709,97.8,506990,97.8
FINAL,1983,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,36063,49.9,781097,55.6,354303,55.6
FINAL,1983,TUNAS AND MACKERELS,SPANISH MACKEREL,10275,47,25641,47.3,11631,47.3
FINAL,1983,WRASSES,TAUTOG,30009,27.5,16795,27.5,7618,27.5
FINAL,1984,BARRACUDAS,BARRACUDAS,1639,127.5,6144,127.5,2787,127.5
FINAL,1984,BLUEFISH,BLUEFISH,5872386,23.4,11717446,16.3,5314999,16.3
FINAL,1984,CARTILAGINOUS FISHES,DOGFISH SHARKS,144554,34.1,436508,67.1,197999,67.1
FINAL,1984,CARTILAGINOUS FISHES,OTHER SHARKS,13131,99.9,263436,99.9,119494,99.9
FINAL,1984,CARTILAGINOUS FISHES,SKATES/RAYS,789834,73.7,2853849,75.5,1294497,75.5
FINAL,1984,DOLPHINS,DOLPHINS,1639,75.7,1446,75.7,656,75.7
FINAL,1984,DRUMS,ATLANTIC CROAKER,4439243,30.5,1223695,26.2,555065,26.2
FINAL,1984,DRUMS,KINGFISHES,916946,38,366987,39.6,166464,39.6
FINAL,1984,DRUMS,RED DRUM,420096,23.2,5942933,28.2,2695697,28.2
FINAL,1984,DRUMS,SILVER PERCH,6453,104.6,1660,104.6,753,104.6
FINAL,1984,DRUMS,SPOT,9307957,31.7,2141016,31.5,971159,31.5
FINAL,1984,DRUMS,SPOTTED SEATROUT,154750,41.9,103514,35.8,46954,35.8
FINAL,1984,DRUMS,WEAKFISH,555640,38.3,252873,29,114703,29
FINAL,1984,EELS,EELS,2647,105.5,4376,105.5,1985,105.5
FINAL,1984,FLOUNDERS,OTHER FLOUNDERS,22896,49.6,16967,56.9,7696,56.9
FINAL,1984,FLOUNDERS,SOUTHERN FLOUNDER,30193,62.3,25889,58.4,11743,58.4
FINAL,1984,FLOUNDERS,SUMMER FLOUNDER,1695404,29.7,2025350,52.4,918693,52.4
FINAL,1984,GRUNTS,OTHER GRUNTS,8197,75.7,1807,75.7,820,75.7
FINAL,1984,GRUNTS,PIGFISH,388380,27.8,90817,27.8,41194,27.8
FINAL,1984,GRUNTS,WHITE GRUNT,191040,74.6,196511,87.5,89137,87.5
FINAL,1984,HERRINGS,HERRINGS,22646,51.8,14025,77.4,6362,77.4
FINAL,1984,JACKS,BLUE RUNNER,2578,102.2,2864,102.2,1299,102.2
FINAL,1984,JACKS,CREVALLE JACK,17417,90.4,16647,90.4,7551,90.4
FINAL,1984,JACKS,FLORIDA POMPANO,366033,37.8,112436,45.9,51000,45.9
FINAL,1984,JACKS,GREATER AMBERJACK,754,101.3,26826,101.3,12168,101.3
FINAL,1984,JACKS,OTHER JACKS,13694,88.5,19920,79.6,9036,79.6
FINAL,1984,MULLETS,MULLETS,894225,20.8,104925,19.4,47594,19.4
FINAL,1984,OTHER FISHES,OTHER FISHES,40821,38.3,268915,69.3,121979,69.3
FINAL,1984,PORGIES,OTHER PORGIES,32093,40.5,30244,59.3,13718,59.3
FINAL,1984,PORGIES,PINFISHES,897991,42.4,203942,42.6,92508,42.6
FINAL,1984,PORGIES,RED PORGY,181003,55.3,257327,65.3,116723,65.3
FINAL,1984,PORGIES,SHEEPSHEAD,21156,93.9,32152,93.9,14584,93.9
FINAL,1984,PUFFERS,PUFFERS,10619,68.4,2385,68.4,1082,68.4
FINAL,1984,SEA BASSES,BLACK SEA BASS,776382,32.2,547252,30.3,248232,30.3
FINAL,1984,SEA BASSES,MYCTEROPERCA GROUPERS,25553,60.7,140028,68.7,63516,68.7
FINAL,1984,SEA BASSES,OTHER SEA BASSES,157397,40.3,35444,40.8,16077,40.8
FINAL,1984,SEAROBINS,SEAROBINS,9755,62.7,2163,62.8,981,62.8
