Year,Month,Monthly_MSL
1998,4,0.085
1998,5,0.091
1998,6,-0.034
1998,7,-0.067
1998,8,-0.065
1998,9,-0.004
1998,10,-0.118
1998,11,-0.074
1998,12,-0.028
1999,1,0.042
1999,2,0.137
1999,3,-0.02
1999,4,0.009
1999,5,0.051
1999,6,-0.012
1999,7,0.006
1999,8,0.039
1999,9,0.313
1999,10,0.207
1999,11,0.014
1999,12,0.035
2000,1,-0.024
2000,2,-0.1
2000,3,-0.001
2000,4,0.013
2000,5,0.02
2000,6,-0.022
2000,7,0.055
2000,8,0.085
2000,9,0.088
2000,10,0.035
2000,11,0.056
2000,12,-0.062
2001,1,-0.106
2001,2,-0.143
2001,3,0.028
2001,4,-0.046
2001,5,0.004
2001,6,-0.003
2001,7,0.017
2001,8,-0.027
2001,9,0.005
2001,10,-0.014
2001,11,-0.03
2001,12,0.015
2002,1,-0.128
2002,2,-0.051
2002,3,-0.073
2002,4,0.007
2002,5,-0.036
2002,6,0.01
2002,7,-0.025
2002,8,0.05
2002,9,0.022
2002,10,0.068
2002,11,0.014
2002,12,-0.006
2003,1,-0.076
2003,2,-0.097
2003,3,0.121
2003,4,0.186
2003,5,0.039
2003,6,0.072
2003,7,-0.021
2003,8,-0.006
2003,9,0.038
2003,10,0.024
2003,11,0.04
2003,12,0.033
2004,1,-0.054
2004,2,-0.053
2004,3,-0.082
2004,4,-0.097
2004,5,-0.052
2004,6,-0.027
2004,7,-0.009
2004,8,-0.003
2004,9,0.015
2004,10,0.068
2004,11,-0.027
2004,12,-0.033
2005,1,0.043
2005,2,0.049
2005,3,0.007
2005,4,0.055
2005,5,0.03
2005,6,0.01
2005,7,-0.007
2005,8,0.047
2005,9,0.024
2005,10,0.092
2005,11,-0.07
2005,12,-0.022
2006,1,0.016
2006,2,-0.069
2006,3,-0.044
2006,4,-0.073
2006,5,0.069
2006,6,-0.009
2006,7,-0.056
2006,8,-0.004
2006,9,0.114
2006,10,-0.007
2006,11,0.104
2006,12,0.077
2007,1,0.049
2007,2,-0.04
2007,3,-0.074
2007,4,0.018
2007,5,-0.006
2007,6,0.048
2007,7,0.016
2007,8,-0.022
2007,9,-0.034
2007,10,-0.002
2007,11,-0.064
2007,12,-0.076
2008,1,-0.117
2008,2,-0.109
2008,3,-0.09
2008,4,0.065
2008,5,0.073
2008,6,-0.081
2008,7,-0.008
2008,8,0.071
2008,9,0.14
2008,10,0.026
2008,11,0.03
2008,12,-0.064
2009,1,-0.093
2009,2,-0.171
2009,3,-0.005
2009,4,-0.008
2009,5,-0.024
2009,6,0.125
2009,7,0.032
2009,8,-0.029
2009,9,0.162
2009,10,0.049
2009,11,0.23
2009,12,0.223
2010,1,0.081
2010,2,0.144
2010,3,0.105
2010,4,-0.024
2010,5,-0.067
2010,6,-0.034
2010,7,-0.025
2010,8,0.03
2010,9,0.037
2010,10,0.093
2010,11,0.025
2010,12,-0.034
2011,1,-0.085
2011,2,-0.052
2011,3,-0.018
2011,4,-0.047
2011,5,0.029
2011,6,0.01
2011,7,0.043
2011,8,0.086
2011,9,0.049
2011,10,-0.012
2011,11,-0.009
2011,12,0
2012,1,-0.06
2012,2,-0.035
2012,3,-0.033
2012,4,0.073
2012,5,0.05
2012,6,0.165
2012,7,0.069
2012,8,0.112
2012,9,0.018
2012,10,0.014
2012,11,0.105
2012,12,0.067
2013,1,0.03
2013,2,-0.012
2013,3,0.047
2013,4,-0.007
2013,5,0.058
2013,6,0.073
2013,7,0.147
2013,8,0.108
2013,9,0.022
2013,10,0.057
2013,11,-0.015
2013,12,0.056
2014,1,0.114
2014,2,0.128
2014,3,0.138
2014,4,0.142
2014,5,0.13
2014,6,0.078
2014,7,0.098
2014,8,0.186
2014,9,0.164
2014,10,0.061
2014,11,0.054
2014,12,0.127
2015,1,0.159
2015,2,0.097
2015,3,0.049
2015,4,0.047
2015,5,0.08
2015,6,0.044
2015,7,0.121
2015,8,0.09
2015,9,0.059
2015,10,0.258
2015,11,0.227
2015,12,0.246
2016,1,0.247
2016,2,0.212
2016,3,0.08
2016,4,0.104
2016,5,0.147
2016,6,0.193
2016,7,0.094
2016,8,0.078
2016,9,0.097
2016,10,0.375
2016,11,0.154
2016,12,0.116
2017,1,0.084
2017,2,0.015
2017,3,-0.056
2017,4,0.151
2017,5,0.132
2017,6,0.104
2017,7,0.102
2017,8,0.141
2017,9,0.189
2017,10,0.056
2017,11,0.072
2017,12,0.047
2018,1,-0.046
2018,2,0.027
2018,3,0.161
2018,4,0.071
2018,5,0.08
2018,6,0.101
2018,7,0.123
2018,8,0.153
2018,9,0.45
2018,10,0.155
2018,11,0.251
2018,12,0.28
2019,1,0.175
2019,2,0.155
2019,3,0.207
2019,4,0.184
2019,5,0.168
2019,6,0.153
2019,7,0.188
2019,8,0.159
2019,9,0.165
2019,10,0.18
2019,11,0.194
2019,12,0.144
2020,1,0.111
2020,2,0.205
2020,3,0.092
2020,4,0.175
2020,5,0.155
2020,6,0.266
2020,7,0.188
2020,8,0.223
2020,9,0.198
2020,10,0.22
2020,11,0.242
2020,12,0.178
2021,1,0.247
2021,2,0.268
2021,3,0.146
2021,4,0.157
2021,5,0.046
2021,6,0.103
2021,7,0.167
2021,8,0.163
2021,9,0.115
2021,10,0.126
2021,11,0.15
2021,12,0.121
2022,1,0.227
2022,2,0.058
2022,3,0.065
2022,4,0.111
2022,5,0.189
2022,6,0.157
2022,7,0.126
2022,8,0.079
2022,9,0.139
2022,10,0.17
2022,11,0.148
2022,12,0.173
2023,1,0.13
2023,2,0.098
2023,3,0.198
