Year,Month,Monthly_MSL,id
2012,5,0.108,Duck
2012,6,0.213,Duck
2012,7,0.142,Duck
2012,8,0.079,Duck
2012,9,-0.007,Duck
2012,12,0.155,Duck
2013,1,0.056,Duck
2013,2,0.099,Duck
2013,3,0.17,Duck
2013,4,0.068,Duck
2013,5,0.034,Duck
2013,6,0.025,Duck
2013,7,0.053,Duck
2013,8,0.115,Duck
2013,9,0.077,Duck
2013,10,0.149,Duck
2013,11,0.042,Duck
2013,12,0.035,Duck
2014,1,0.021,Duck
2014,2,0.056,Duck
2014,3,0.122,Duck
2014,4,0.109,Duck
2014,5,0.092,Duck
2014,6,0.134,Duck
2014,7,0.082,Duck
2014,8,0.159,Duck
2014,9,0.129,Duck
2014,10,0.105,Duck
2014,11,0.058,Duck
2014,12,0.153,Duck
2015,1,0.036,Duck
2015,2,0.06,Duck
2015,3,-0.036,Duck
2015,4,-0.001,Duck
2015,5,-0.041,Duck
2015,6,0.06,Duck
2015,7,0.126,Duck
2015,8,0.108,Duck
2015,9,0.139,Duck
2015,10,0.19,Duck
2015,11,0.102,Duck
2015,12,0.107,Duck
2016,1,0.174,Duck
2016,2,0.084,Duck
2016,3,0.089,Duck
2016,4,0.096,Duck
2016,5,0.134,Duck
2016,6,0.126,Duck
2016,7,0.103,Duck
2016,8,0.067,Duck
2016,9,0.183,Duck
2016,10,0.172,Duck
2016,11,0.096,Duck
2016,12,0.076,Duck
2017,1,0.091,Duck
2017,2,0.065,Duck
2017,3,-0.02,Duck
2017,4,0.106,Duck
2017,5,0.156,Duck
2017,6,0.09,Duck
2017,7,0.128,Duck
2017,8,0.167,Duck
2017,9,0.219,Duck
2017,10,0.1,Duck
2017,11,0.173,Duck
2017,12,0.078,Duck
2018,1,0.015,Duck
2018,2,-0.003,Duck
2018,3,0.266,Duck
2018,4,0.074,Duck
2018,5,0.064,Duck
2018,6,0.214,Duck
2018,7,0.164,Duck
2018,8,0.086,Duck
2018,9,0.228,Duck
2018,10,0.116,Duck
2018,11,0.136,Duck
2018,12,0.21,Duck
2019,1,0.2,Duck
2019,2,0.112,Duck
2019,3,0.156,Duck
2019,4,0.1,Duck
2019,5,0.187,Duck
2019,6,0.159,Duck
2019,7,0.162,Duck
